,game_id,data_set,date,away_score,home_score,away_team,home_team,W_or_L,num_block,shots_made,shots_missed,turnover,top_player_score,num_players,num_assist,ft_last2min,ft_total,ft_pct,scorediff,fg_pct
485,21600001,2016-2017 Regular Season,10/25/2016,88,117,NYK,CLE,win,72,45,49,15,29,4,31,2,19,0.736842105,0,0.478723404
903,21600002,2016-2017 Regular Season,10/25/2016,104,113,UTA,POR,win,47,39,36,16,39,4,22,8,22,1,7,0.52
1380,21600003,2016-2017 Regular Season,10/25/2016,129,100,SAS,GSW,lose,49,40,45,17,27,4,24,,18,0.722222222,-5,0.470588235
1860,21600004,2016-2017 Regular Season,10/26/2016,108,96,MIA,ORL,lose,65,34,55,13,20,5,20,2,28,0.785714286,0,0.382022472
2416,21600005,2016-2017 Regular Season,10/26/2016,121,130,DAL,IND,win,69,47,46,16,30,5,30,6,34,0.764705882,9,0.505376344
2904,21600006,2016-2017 Regular Season,10/26/2016,117,122,BKN,BOS,win,58,48,41,19,25,5,36,2,18,0.833333333,-3,0.539325843
3364,21600007,2016-2017 Regular Season,10/26/2016,91,109,DET,TOR,win,64,41,45,13,40,3,17,3,29,0.827586207,-1,0.476744186
3834,21600008,2016-2017 Regular Season,10/26/2016,107,96,CHA,MIL,lose,60,39,53,8,31,4,23,7,20,0.75,1,0.423913043
4314,21600009,2016-2017 Regular Season,10/26/2016,98,102,MIN,MEM,win,66,36,44,14,24,5,19,10,27,0.703703704,6,0.45
4823,21600010,2016-2017 Regular Season,10/26/2016,107,102,DEN,NOP,lose,53,38,54,12,50,3,31,10,26,0.884615385,-3,0.413043478
5320,21600011,2016-2017 Regular Season,10/26/2016,103,97,OKC,PHI,lose,64,36,48,14,20,5,21,6,25,0.72,-7,0.428571429
5794,21600012,2016-2017 Regular Season,10/26/2016,113,94,SAC,PHX,lose,58,36,41,19,18,4,20,3,27,0.666666667,4,0.467532468
6267,21600013,2016-2017 Regular Season,10/26/2016,114,120,HOU,LAL,win,59,45,44,17,25,5,21,,22,0.818181818,2,0.505617978
6752,21600014,2016-2017 Regular Season,10/27/2016,99,114,WAS,ATL,win,67,44,44,21,28,5,28,2,18,0.777777778,1,0.5
7246,21600015,2016-2017 Regular Season,10/27/2016,99,105,BOS,CHI,win,75,36,56,13,24,4,25,8,30,0.733333333,2,0.391304348
7699,21600016,2016-2017 Regular Season,10/27/2016,102,94,SAS,SAC,lose,54,28,42,17,37,3,22,2,38,0.842105263,1,0.4
8242,21600017,2016-2017 Regular Season,10/27/2016,114,106,LAC,POR,lose,74,39,46,15,29,5,18,12,32,0.75,3,0.458823529
8703,21600018,2016-2017 Regular Season,10/28/2016,94,91,CLE,TOR,lose,68,35,55,19,32,3,12,2,18,0.944444444,-3,0.388888889
9202,21600019,2016-2017 Regular Season,10/28/2016,94,103,IND,BKN,win,71,38,49,16,25,4,20,4,20,0.85,-1,0.436781609
9629,21600020,2016-2017 Regular Season,10/28/2016,82,108,ORL,DET,win,70,48,47,12,18,6,27,1,6,0.833333333,-6,0.505263158
10201,21600021,2016-2017 Regular Season,10/28/2016,110,113,PHX,OKC,win,85,40,56,22,51,2,13,3,38,0.736842105,1,0.416666667
10683,21600022,2016-2017 Regular Season,10/28/2016,97,91,CHA,MIA,lose,73,32,54,20,20,5,19,4,20,0.65,1,0.372093023
11123,21600023,2016-2017 Regular Season,10/28/2016,106,98,HOU,DAL,lose,51,35,45,11,31,4,13,5,24,0.833333333,4,0.4375
11614,21600024,2016-2017 Regular Season,10/28/2016,89,96,LAL,UTA,win,70,31,44,17,23,5,14,6,40,0.7,-1,0.413333333
12112,21600025,2016-2017 Regular Season,10/28/2016,122,114,GSW,NOP,lose,62,47,53,15,45,4,29,8,23,0.652173913,3,0.47
12571,21600026,2016-2017 Regular Season,10/29/2016,104,72,ATL,PHI,lose,60,28,52,20,14,3,16,4,15,0.733333333,-4,0.35
13023,21600027,2016-2017 Regular Season,10/29/2016,104,98,BOS,CHA,lose,61,32,47,9,29,3,22,4,33,0.757575758,2,0.405063291
13521,21600028,2016-2017 Regular Season,10/29/2016,104,111,MEM,NYK,win,64,40,36,13,21,5,24,4,39,0.641025641,-1,0.526315789
14028,21600029,2016-2017 Regular Season,10/29/2016,99,105,ORL,CLE,win,67,36,52,10,23,4,17,9,30,0.733333333,-2,0.409090909
14432,21600030,2016-2017 Regular Season,10/29/2016,101,118,IND,CHI,win,56,45,41,12,23,6,34,,21,0.904761905,4,0.523255814
14918,21600031,2016-2017 Regular Season,10/29/2016,108,110,BKN,MIL,win,58,41,47,14,22,5,25,6,24,0.833333333,-5,0.465909091
15355,21600032,2016-2017 Regular Season,10/29/2016,79,98,NOP,SAS,win,66,35,48,11,20,4,21,,23,0.782608696,-2,0.421686747
15927,21600033,2016-2017 Regular Season,10/29/2016,115,113,POR,DEN,lose,84,38,62,18,23,6,19,7,39,0.794871795,-11,0.38
